所属区域,小区名称,房屋价格,房屋面积,户型
整租·朗芳园五区 2室1厅 南,精选,3800 元/月,通州-通州其它-朗芳园五区,/
整租·中粮祥云国际生活区 2室2厅 南/北,顺义-后沙峪-中粮祥云国际生活区,13000 元/月,118.00㎡,/
整租·京旺家园 2室1厅 南/北,精选,5800 元/月,朝阳-中央别墅区-京旺家园,/
整租·万科天地 3室1厅 南,大兴-义和庄-万科天地,4500 元/月,56.44㎡,/
整租·泰禾中央广场 1室1厅 南,大兴-黄村火车站-泰禾中央广场,4000 元/月,35.12㎡,/
整租·西绒线 1室1厅 南,西城-西单-西绒线,7500 元/月,50.73㎡,/
整租·复地西绒线26号 2室1厅 西/北,西城-西单-复地西绒线26号,31000 元/月,155.92㎡,/
整租·怡乐北街 2室1厅 南,精选,4930 元/月,通州-九棵树(家乐福)-怡乐北街,/
整租·大西洋新城E区 2室1厅 西,精选,10890 元/月,朝阳-望京-大西洋新城E区,/
整租·西绒线 3室1厅 东/西,西城-西单-西绒线,16000 元/月,109.00㎡,/
整租·K2清水湾嘉园 2室1厅 南,精选,4830 元/月,通州-潞苑-K2清水湾嘉园,/
整租·西交民巷27号院 2室0厅 南/北,西城-西单-西交民巷27号院,6800 元/月,52.10㎡,/
整租·芳群园四区 2室1厅 东南,精选,6330 元/月,丰台-方庄-芳群园四区,/
整租·新景家园西区 2室1厅 复式 南/北,东城-崇文门-新景家园西区,9500 元/月,92.34㎡,/
整租·博雅国际 2室1厅 北,精选,8730 元/月,朝阳-望京-博雅国际,/
整租·新景家园东区 1室1厅 南,东城-崇文门-新景家园东区,8500 元/月,59.60㎡,/
整租·崇文门东大街 3室1厅 南/北,东城-崇文门-崇文门东大街,8800 元/月,79.00㎡,/
整租·旭辉26街区 2室1厅 西,精选,4430 元/月,顺义-顺义其它-旭辉26街区,/
整租·兴隆都市馨园 1室0厅 南,东城-崇文门-兴隆都市馨园,4800 元/月,28.48㎡,/
整租·壹线国际 2室1厅 东,精选,7630 元/月,朝阳-四惠-壹线国际,/
整租·法华南里 2室1厅 南/北,东城-崇文门-法华南里,8500 元/月,82.41㎡,/
整租·新景家园东区 2室1厅 南/北,东城-崇文门-新景家园东区,10500 元/月,80.00㎡,/
整租·天坛东里中区 2室1厅 南,东城-天坛-天坛东里中区,5500 元/月,49.03㎡,/
整租·金鱼池西区 2室1厅 复式 西南,东城-天坛-金鱼池西区,8500 元/月,90.72㎡,/
整租·天坛西里东区 2室1厅 南/北,东城-天坛-天坛西里东区,5500 元/月,51.00㎡,/
整租·永定门东街西里 2室1厅 南,东城-天坛-永定门东街西里,5300 元/月,53.00㎡,/
整租·安苑东里三区 2室1厅 南,精选,8030 元/月,朝阳-惠新西街-安苑东里三区,/
整租·天坛北里 2室1厅 南,东城-天坛-天坛北里,7000 元/月,52.04㎡,/
整租·前门前酒店公寓 1室1厅 东南,东城-天坛-前门前酒店公寓,9000 元/月,97.00㎡,/
整租·安外大街 1室1厅 东,精选,6730 元/月,东城-安贞-安外大街,/
整租·金鱼池西区 2室1厅 东/西,东城-天坛-金鱼池西区,7900 元/月,70.00㎡,/
整租·永定门东街西里 2室1厅 南/北,东城-天坛-永定门东街西里,6200 元/月,50.77㎡,/
整租·易构空间 1室1厅 北,精选,6330 元/月,朝阳-大望路-易构空间,/
整租·高巢 1室1厅 北,精选,5430 元/月,海淀-清河-高巢,/
整租·621小区 2室1厅 南,精选,6090 元/月,海淀-清河-621小区,/
整租·秀水园 1室1厅 南/北,朝阳-甜水园-秀水园,6300 元/月,51.72㎡,/
整租·京城雅居 3室2厅 南/北,朝阳-豆各庄-京城雅居,11000 元/月,174.61㎡,/
整租·远洋山水 1室1厅 东,精选,6190 元/月,石景山-鲁谷-远洋山水,/
整租·金樾和著 3室1厅 南/北,房山-房山其它-金樾和著,3500 元/月,89.28㎡,/
整租·绿地诺亚方舟 3房间 南,精选,4160 元/月,房山-良乡-绿地诺亚方舟,/
整租·金都心语 2房间 西,精选,5430 元/月,朝阳-百子湾-金都心语,/
整租·金色漫香林五期 6室2厅 复式 南/北,大兴-亦庄-金色漫香林五期,15000 元/月,200.95㎡,/
整租·金隅康惠园3号院 2室1厅 南,朝阳-双桥-金隅康惠园3号院,5500 元/月,76.00㎡,/
整租·西长安壹号 4房间 西,门头沟-上岸地铁-西长安壹号,7500 元/月,89.00㎡,/
整租·朝阳无限 1室1厅 北,精选,6690 元/月,"朝阳-[高碑店,",/
整租·新翠景园 1室1厅 南,精选,4190 元/月,通州-九棵树(家乐福)-新翠景园,/
整租·泰禾中央广场 2室1厅 北,精选,4990 元/月,大兴-黄村火车站-泰禾中央广场,/
整租·大方居 2室1厅 东/西,通州-九棵树(家乐福)-大方居,3950 元/月,90.00㎡,/
整租·高教大楼 1房间 东,昌平-沙河-高教大楼,1200 元/月,20.00㎡,/
整租·设计师广场 1室0厅 东北,丰台-科技园区-设计师广场,4100 元/月,48.00㎡,/
整租·天居园 1室1厅 西,精选,6260 元/月,朝阳-奥林匹克公园-天居园,/
整租·丽水莲花 2室1厅 西北,西城-广安门-丽水莲花,13500 元/月,99.00㎡,/
整租·隆远阁 1室1厅 东,精选,8490 元/月,朝阳-[芍药居]-隆远阁,/
整租·垂杨柳南里 2室1厅 南/北,朝阳-劲松-垂杨柳南里,5500 元/月,48.98㎡,/
整租·首开智慧社 1房间 东,昌平-回龙观-首开智慧社,5300 元/月,54.38㎡,/
整租·恒大未来城 1室1厅 南,精选,4860 元/月,大兴-义和庄-恒大未来城,/
整租·炫立方 2房间 东,精选,3730 元/月,顺义-顺义其它-炫立方,/
整租·涧桥山 2室2厅 南/北,密云-果园街道-涧桥山,2600 元/月,87.98㎡,/
整租·玉桃园三区 2室1厅 南/北,西城-西直门-玉桃园三区,8600 元/月,57.00㎡,/
整租·炫特嘉园一期 2室1厅 北,精选,7290 元/月,朝阳-石佛营-炫特嘉园一期,/
整租·安慧北里秀园 1室1厅 西,朝阳-亚运村-安慧北里秀园,7300 元/月,52.10㎡,/
整租·安宁佳园 1室1厅 北,精选,5690 元/月,海淀-安宁庄-安宁佳园,/
整租·北苑家园望春园 1室1厅 东南,精选,7490 元/月,朝阳-北苑-北苑家园望春园,/
整租·新城乐居 3室1厅 南/北,通州-临河里-新城乐居,4500 元/月,91.44㎡,/
整租·北花园小区3号院 1室1厅 南,精选,5290 元/月,朝阳-双桥-北花园小区3号院,/
整租·芭蕾雨悦都南区 2室2厅 南/北,房山-长阳-芭蕾雨悦都南区,5300 元/月,64.00㎡,/
整租·万泉新新家园 1室1厅 西,精选,8030 元/月,海淀-万柳-万泉新新家园,/
整租·朗琴园 1室1厅 西,精选,6890 元/月,西城-广安门-朗琴园,/
整租·天宁寺前街北里 2室1厅 南,西城-天宁寺-天宁寺前街北里,6300 元/月,38.81㎡,/
整租·泰悦豪庭 1室1厅 西,精选,8890 元/月,朝阳-三里屯-泰悦豪庭,/
整租·合生世界花园 1室1厅 西,精选,3990 元/月,通州-马驹桥-合生世界花园,/
整租·中纺宿舍南院 2室1厅 南/北,海淀-甘家口-中纺宿舍南院,9800 元/月,85.70㎡,/
整租·中旅·亦府 3室2厅 南/北,大兴-亦庄开发区其它-中旅·亦府,5800 元/月,89.00㎡,/
整租·刘家窑南里 2室1厅 东,精选,6060 元/月,丰台-蒲黄榆-刘家窑南里,/
整租·河和居 3房间 复式 西北,通州-通州北苑-河和居,4900 元/月,57.70㎡,/
整租·十里堡北里 2室1厅 南,精选,7690 元/月,朝阳-十里堡-十里堡北里,/
整租·北京新天地二期 1室1厅 北,精选,6190 元/月,朝阳-常营-北京新天地二期,/
整租·泛海国际樱海园 4室2厅 南/北,朝阳-朝阳公园-泛海国际樱海园,40000 元/月,261.50㎡,/
整租·南湖中园二区 2室1厅 南/北,朝阳-望京-南湖中园二区,6800 元/月,72.99㎡,/
整租·铁东小区 2室1厅 南,精选,7530 元/月,海淀-军博-铁东小区,/
整租·FCC中央城 4房间 东/南,房山-长阳-FCC中央城,5000 元/月,78.42㎡,/
整租·柏泉庄园雁鸣园B区 2室1厅 南/北,怀柔-怀柔-柏泉庄园雁鸣园B区,2800 元/月,88.56㎡,/
整租·泰和宜园 3室2厅 南/北,顺义-马坡-泰和宜园,5600 元/月,132.00㎡,/
整租·常楹公元自由派 2房间 西,精选,4890 元/月,朝阳-常营-常楹公元自由派,/
整租·世嘉光织谷东区 2室2厅 南/北,怀柔-怀柔-世嘉光织谷东区,3500 元/月,110.69㎡,/
整租·首城国际中心 2房间 南,朝阳-双井-首城国际中心,11000 元/月,56.00㎡,/
整租·永金里小区 2室1厅 南,精选,7190 元/月,海淀-五棵松-永金里小区,/
整租·后现代城D区 2室1厅 北,精选,8490 元/月,朝阳-大望路-后现代城D区,/
整租·京能丨电建·洺悦湾 3室2厅 南/北,大兴-旧宫-京能丨电建·洺悦湾,7500 元/月,89.00㎡,/
整租·万通天竺新新家园 3室2厅 南/北,顺义-天竺-万通天竺新新家园,20000 元/月,152.02㎡,/
整租·仁和花园一区 3室1厅 南/北,顺义-顺义城-仁和花园一区,4200 元/月,116.00㎡,/
整租·红星楼 2室1厅 南/北,大兴-旧宫-红星楼,4300 元/月,70.00㎡,/
整租·安贞西里 2室1厅 南/北,朝阳-安贞-安贞西里,7800 元/月,64.00㎡,/
整租·富华家园 1室1厅 东,精选,6390 元/月,朝阳-高碑店-富华家园,/
整租·金隅瑞和园 1室1厅 西,精选,5330 元/月,海淀-玉泉路-金隅瑞和园,/
整租·王庄路27号院 2室1厅 南,精选,9490 元/月,海淀-五道口-王庄路27号院,/
整租·东恒时代一期 2室1厅 南,朝阳-四惠-东恒时代一期,9500 元/月,97.00㎡,/
整租·华鼎世家 3室2厅 南/北,朝阳-望京-华鼎世家,23500 元/月,219.00㎡,/
整租·老山东里 2室1厅 南/西南,石景山-老山-老山东里,5000 元/月,62.97㎡,/
整租·巴克摩界 1室1厅 南,精选,4290 元/月,通州-果园-巴克摩界,/
整租·豆瓣胡同 2室1厅 南,精选,11630 元/月,东城-朝阳门内-豆瓣胡同,/
整租·UHN国际村 2室2厅 南,朝阳-三元桥-UHN国际村,13000 元/月,89.00㎡,/
整租·金地未未来 2房间 LOFT 东,精选,3300 元/月,顺义-顺义其它-金地未未来,/
整租·花家地南里 1室1厅 南,精选,5200 元/月,朝阳-望京-花家地南里,/
整租·南海家园六里 1室1厅 南/北,大兴-亦庄开发区其它-南海家园六里,3800 元/月,67.00㎡,/
整租·林肯时代 3房间 西,亦庄开发区-亦庄-林肯时代,11000 元/月,103.46㎡,/
整租·山水文园五期 4室2厅 东/南/北,朝阳-十里河-山水文园五期,50000 元/月,276.40㎡,/
整租·江山赋 1室1厅 南,顺义-后沙峪-江山赋,4600 元/月,57.17㎡,/
整租·民政局家属楼 2室1厅 南/北,通州-北关-民政局家属楼,3600 元/月,69.00㎡,/
整租·西山麓园 2室1厅 南,精选,6690 元/月,石景山-苹果园-西山麓园,/
整租·东中街 2室1厅 南,东城-东直门-东中街,8100 元/月,58.56㎡,/
整租·供电局家属楼 2室1厅 南/北,顺义-顺义城-供电局家属楼,4000 元/月,60.00㎡,/
整租·夏霖园 1室1厅 南,精选,7060 元/月,海淀-西北旺-夏霖园,/
整租·北京像素北区 2房间 西,朝阳-常营-北京像素北区,5600 元/月,46.00㎡,/
整租·新风北里 1室1厅 南,精选,7230 元/月,西城-马甸-新风北里,/
整租·门头馨园 1室1厅 西,精选,6190 元/月,海淀-西山-门头馨园,/
整租·北太平庄路 2室1厅 南/北,海淀-北太平庄-北太平庄路,8400 元/月,57.40㎡,/
整租·裕中东里 2室1厅 南,精选,8190 元/月,西城-马甸-裕中东里,/
整租·富力城A区 1室1厅 东,朝阳-双井-富力城A区,10200 元/月,60.00㎡,/
整租·石油大院 2室1厅 南/北,海淀-二里庄-石油大院,8500 元/月,60.00㎡,/
整租·金尚嘉园 2室1厅 东,精选,11990 元/月,海淀-牡丹园-金尚嘉园,/
整租·德外大街12号院 3室1厅 南/西,西城-六铺炕-德外大街12号院,24000 元/月,105.00㎡,/
整租·贵园南里乙区 3室1厅 南/北,亦庄开发区-亦庄-贵园南里乙区,6800 元/月,103.00㎡,/
整租·塔院小区 2室1厅 南,精选,9660 元/月,海淀-牡丹园-塔院小区,/
整租·万通天竺新新家园 3室2厅 南/北,顺义-天竺-万通天竺新新家园,16000 元/月,157.00㎡,/
整租·金海国际南区 2室2厅 东/南,朝阳-百子湾-金海国际南区,9000 元/月,108.00㎡,/
整租·丰汇园小区 2室2厅 南/北,西城-金融街-丰汇园小区,26000 元/月,118.90㎡,/
整租·清欣园 2室1厅 南/北,大兴-旧宫-清欣园,4000 元/月,69.60㎡,/
整租·天赐良园东三期A区 3室2厅 南/北,通州-北关-天赐良园东三期A区,8700 元/月,158.00㎡,/
整租·月亮城堡 2室1厅 复式 南/北,通州-武夷花园-月亮城堡,6800 元/月,102.00㎡,/
整租·乐成豪丽 1室1厅 南,朝阳-大望路-乐成豪丽,10500 元/月,74.49㎡,/
整租·西辛北区 1室0厅 南/北,顺义-顺义城-西辛北区,2600 元/月,52.51㎡,/
整租·优筑 1室1厅 北,丰台-玉泉营-优筑,5000 元/月,67.55㎡,/
整租·融科香雪兰溪 3室1厅 南/北,通州-马驹桥-融科香雪兰溪,5500 元/月,89.40㎡,/
整租·北京财富中心 3室1厅 西/西北,朝阳-东大桥-北京财富中心,23000 元/月,143.00㎡,/
整租·曙光里 2室1厅 南,精选,7690 元/月,朝阳-三元桥-曙光里,/
整租·泰禾中央广场 1室1厅 复式 南,精选,3800 元/月,大兴-黄村火车站-泰禾中央广场,/
整租·裕和嘉园 1室1厅 南,精选,6530 元/月,海淀-马连洼-裕和嘉园,/
整租·华严北里小区 1室1厅 东,精选,7790 元/月,朝阳-健翔桥-华严北里小区,/
整租·阳光水岸 2室0厅 南/北,顺义-顺义城-阳光水岸,3500 元/月,63.00㎡,/
整租·青年公寓 1室1厅 北,精选,7530 元/月,海淀-皂君庙-青年公寓,/
整租·金玉府 2室1厅 南,精选,14130 元/月,海淀-田村-金玉府,/
整租·嘉和丽园 2室1厅 东南/西北,朝阳-燕莎-嘉和丽园,12500 元/月,108.00㎡,/
整租·北苑家园绣菊园 2室1厅 东/南,朝阳-北苑-北苑家园绣菊园,6400 元/月,79.22㎡,/
整租·前半壁街35号院 1室1厅 南,精选,7460 元/月,西城-官园-前半壁街35号院,/
整租·东直门内大街 1室1厅 东,精选,9060 元/月,东城-东直门-东直门内大街,/
整租·星光拓诚之华远西红世商业 1室1厅 西,精选,4590 元/月,大兴-高米店-星光拓诚之华远西红世商业,/
整租·富力城A区 3室2厅 南,朝阳-双井-富力城A区,16800 元/月,114.00㎡,/
整租·三里河东路 4室1厅 东/西,西城-月坛-三里河东路,20000 元/月,124.10㎡,/
整租·双榆树南里二区 2室1厅 东,海淀-皂君庙-双榆树南里二区,8500 元/月,58.00㎡,/
整租·定慧西里 1室1厅 南,精选,6160 元/月,海淀-定慧寺-定慧西里,/
整租·国瑞城东区 3室1厅 西南,东城-崇文门-国瑞城东区,11800 元/月,93.00㎡,/
整租·丽泽雅园 2室1厅 南,丰台-马连道-丽泽雅园,7500 元/月,95.33㎡,/
整租·光华里社区 2室1厅 东,精选,8190 元/月,朝阳-CBD-光华里社区,/
整租·北京邮电大学 2室1厅 西,精选,9130 元/月,海淀-小西天-北京邮电大学,/
整租·航天城小区 2室2厅 南/北,海淀-海淀北部新区-航天城小区,7500 元/月,83.00㎡,/
整租·家和园 2室1厅 南,精选,5390 元/月,通州-北关-家和园,/
整租·七彩华园 3室2厅 南/北,海淀-马连洼-七彩华园,14000 元/月,137.00㎡,/
整租·碣石坪 1室1厅 西,石景山-鲁谷-碣石坪,4200 元/月,59.41㎡,/
整租·双柳巷 2室1厅 南/北,朝阳-双桥-双柳巷,4900 元/月,52.95㎡,/
整租·水上华城 1室1厅 南,精选,7060 元/月,东城-广渠门-水上华城,/
整租·珠江四季悦城 3房间 西北,通州-通州其它-珠江四季悦城,5000 元/月,65.00㎡,/
整租·清韵北里二区 2室1厅 南,精选,4000 元/月,通州-通州其它-清韵北里二区,/
整租·旭辉26街区 2室1厅 复式 西,精选,4000 元/月,顺义-顺义其它-旭辉26街区,/
整租·交大东路4号院 2室1厅 西,精选,7760 元/月,海淀-西直门-交大东路4号院,/
整租·如意里 1室1厅 南,精选,6830 元/月,西城-新街口-如意里,/
整租·月季园 1室1厅 西,精选,7190 元/月,海淀-马甸-月季园,/
整租·琥珀天地 1房间 南/北,昌平-回龙观-琥珀天地,5200 元/月,61.82㎡,/
整租·学院派 2房间 北,精选,8430 元/月,海淀-小西天-学院派,/
整租·汽北小区 2室1厅 南,西城-木樨地-汽北小区,9600 元/月,70.00㎡,/
整租·光耀东方峰会 2房间 北,海淀-甘家口-光耀东方峰会,16500 元/月,76.36㎡,/
整租·太平路44号院 2室1厅 南,精选,7290 元/月,海淀-五棵松-太平路44号院,/
整租·阜成路8号院 3室1厅 东/北,海淀-甘家口-阜成路8号院,13800 元/月,108.00㎡,/
整租·融创亦庄壹号 3室1厅 西南,亦庄开发区-通州其它-融创亦庄壹号,7000 元/月,89.90㎡,/
整租·丽都东镇滨河1号 1房间 东,朝阳-酒仙桥-丽都东镇滨河1号,5500 元/月,51.52㎡,/
整租·世华龙樾四期 5室2厅 东/南/北,海淀-清河-世华龙樾四期,36000 元/月,300.00㎡,/
整租·皓月园 1室0厅 北,门头沟-滨河西区-皓月园,2850 元/月,45.00㎡,/
整租·天通苑东三区 2室1厅 东,精选,7030 元/月,昌平-天通苑-天通苑东三区,/
整租·槐柏树街 2室1厅 南/北,西城-长椿街-槐柏树街,7800 元/月,68.00㎡,/
整租·上地佳园 3室2厅 南/北,海淀-上地-上地佳园,17300 元/月,151.00㎡,/
整租·通州万国城MOMA 3室2厅 南/北,通州-乔庄-通州万国城MOMA,12000 元/月,137.00㎡,/
整租·芳星园二区 1室1厅 东,精选,5730 元/月,丰台-方庄-芳星园二区,/
整租·和悦居10号院 2室1厅 南,顺义-顺义其它-和悦居10号院,2900 元/月,54.00㎡,/
整租·旭辉26街区 2室1厅 LOFT 西,精选,4000 元/月,顺义-顺义其它-旭辉26街区,/
整租·北苑家园茉藜园 1室1厅 西南,朝阳-北苑-北苑家园茉藜园,6300 元/月,66.00㎡,/
整租·华樾北京二期 3室1厅 南/北,朝阳-望京-华樾北京二期,9000 元/月,89.00㎡,/
